Class,Ratings,Reviews
1,5,"I'm a semi-pro player, and this tuner is all I need.  A great buy, worth the money.  The simplicity of the design and the beautiful full color screen are my favorite features of the Snark Sn-1."
0,3,"This tuner is nice , inexpensive and very easy to use.  It does a very nice job keeping the instrument tuned"
1,5,I have tried several different kinds of guitar tuners and of the ones I have tried the Snark is the best. It is more precise easier to operate and just simply looks prettier. I highly recommend this tuner.
1,5,"Solid tuner, more accurate than I anticipated and very easy to use. It will get you extremely close and for the size and functionality it seems to be the best product of it's kind that I've used."
1,5,the snark tuner is theBEST one I have owned  extremely accurate  easy to use  very reasonably priced for such a good piecehave paid lots more for products that were harder and not as accurate
1,5,Excellent little device for the money.  Easy to use.  I have paid double for tuners that have not worked as well.  This will get you in tune for $11 or less - can't beat it.
1,5,"I own several of the Snark tuners.  The SN-1 settles quickly, and works with a wide array of instruments.  Tuning couldn't be simpler.  Just clip it to your instrument and strum or play a note and, in an instant, there it is.  The display is bright and easy to read, and the graph has a lot of resolution.  The SN-1 senses frequency through vibration.  It is transposable, and it offers a metronome feature.  The SN-1 is finished with a rubbery texture and is a beautiful &#34;electric blue&#34; color."
1,4,"I like the way the Snark attaches to all of my guitars and a mandolin. It reacts quickly and is not over-sensitive. The way the mounting and dial articulate make it easy to set up while not interfering with the tuning knobs. Easy to read and for the very low price a great value. However, and this may be my own fault, I often need to snap my finger against the dial to get it to start reading. I say my own fault because I put the battery in wrong the first time and had to pull it out with needlenose pliers. That may have damaged a contact. I play with a number of other people that have Snarks and they all work properly. I would buy another one without hesitation."
1,5,Since this my first Snark SN-1 Tuner I am very pleased with performance it gives me accurate read outs against built in tuners on the guitars (Acoustic) that is. Like all all functions it has looking forward to maybe upgrading to the next model or so just have a few around for each instrument.
1,5,"If you are a beginning guitarist, like myself, you probably can't tell one note from another. This product does all the hard work for you easily, quickly and accurately. The only thing I needed to know but didn't was that if you get a reading of G and you need to make the reading B for the B string, the notes follow the alphabet from A to G and then begin again. So you are turning in the right direction from G if the next note is A. The one after A will be B. Seems simple enough if you know anything about music. I didn't."
1,4,"This is a great little tuner.  Used it for more than a year with no issues.  Fantastic for positioning it anywhere on the guitar.  It also has an excellent display for showing you how sharp or flat you are.  The only reason I didn't make this a five star rating is that I discovered the Planet Waves PW-CT-12 NS Mini Headstock Tuner.  If it was a choice between the 2, the Planet Waves wins, hands down.  But this is excellent for what it is:  an easy-to-clip-on tuner that can be used on any instrument.  I've even set it down on my elementary classroom autoharp and it tuned it to perfection."
1,5,One of biggest hurdles for any instrument player is keeping your instrument in tune.  With this little gadget there is no guess work.  Clamp it onto the headstock of your guitar and pluck each string and bring each one into tune. I love this little gadget and the price is super on Amazon!
0,3,"I have to edit my once five star review because twice in a row I recieved a tuner in the mail, and after less than one week the screen goes totally dim. I Can't imagine this is the battery since that is supposed to last a year and I only used the tuner 4-5 times for less than a minute each time. It's so dim I can barley see the reading when I squint. It's only $10 just a pain to wait two weeks for amazon to give a refund. I'll be buying another one and trying it again! Good tuner, unlucky with two lemons I guess."
1,5,"This is the best clip on tuner out there.  It's dead accurate, doesn't bounce around like dial needle tuners, and it's EASY TO READ!  You just clip it to your headstock, either acoustic or electric, turn it on, position the face toward you and start tuning very quickly.  Highly recommended for all string players, especially electric or acoustic guitar or Dobro.  There are other tuners by Snark that are more sensitive to lower ranges and higher ranges, so check out what suits your needs."
1,4,...but what you ask? This tuner gets the job done but the part that connects the clip to the tuner is very weak and can break off easily. Mine broke and so did my friend's. It's probably cheaper to just buy a new one than to get a replacement clip.
1,4,"Not quite as good as the red All Instrument Snark, but it gets the job done and the price is right."
0,1,Very accurate tuner BUT it broke within the first week I used it.  The little head on the tuner is connected with an arm and a ball and even when  you are gently the three prongs holding the ball joint can crack and break rendering it useless.  I will try to get a replacement... Now as a tuner it was really quite good but just not durable which is kinda what you need.
1,5,"The Snark SN-1 is small, accurate and easy to use. I have a more ""sophisticated"" tuner and the Snark works faster and is much easier to use."
1,5,"I've been playing for over 30 years and now have three different electronic tuners, so I'm a good judge of the Snark:PROS:  It's chromatic so it's good for every tuning job; no need to plug it into your jack; ambient noise doesn't affect it; great sharp, colorful display; reacts quickly; small enough to fit easily in my case; cool blue color; built-in metronome; powers down automatically to save the battery; transposes up to four steps if you're using a capo; will even identify major chords.CONS:  Works better on acoustics and semi-hollows than on solid bodied guitars; made me realize that three of my strings need intonating (or is that a PRO?); metronome is visual only; manual says that long-term use of the clip in one spot can damage some guitars' finishes; big blue thing on your guitar looks weird.Now that I have the Snark I have officially retired my other two tuners.  This is easier to use, easier to carry around, you don't have to unplug from your amp, it works on acoustic or electric, and it's chromatic.  And it's cheap.  Definitely recommended."
1,5,"so cheap I bought one for each of my ukuleles..  would never use a pitch pipe again, and I guess I might be tone deaf cuz i cannot tune them without these."
1,5,I got this becasue our bassist got his hands on one and loved it.  I have a stompbox tuner but this Shark is really fantastic.Easy to use and very accurate.  It makes tuning a breeze.
1,5,"At first I was skeptical of this nifty little tuner, but since I've been using it for the past few weeks, I've yet to have one complaint. It sits right atop, clipped to the guitar, operates on vibrations, so doesn't pic up other guitars, is light, barely even notice it, and seems quite accurate."
1,5,"I received this yesterday and it is the best tuner for my acoustic guitar.  This is the second one I have and it works well.  I have a built in tuner, but the Snark is so easy to use and inexpensive, it is a great deal.  I would recommend this to any acoustic guitar player."
1,5,"Bright easy to read display, adjusts to face any direction, so I can even use it with my Telecaster which has very little room on the headstock.  Accurate and fast. Can't beat the price, and battery compartment is easy to open, unlike some other tuners I have."
1,5,"Started to take guitar lessons locally to balance out the DVD's and books, and my teach used a clip-on tuner and my interest went sky high. (I am a professional drummer with serious guitar envy)All I can say is GOODBY JACK-IN TUNERS.With this little baby it makes no difference whether you are playing an electric guitar/bass or an acoustic, and you can tune on the fly with the thing clipped on to your headstock all the time. Admittedly you can do this with with a jack-in tuner without the jack-in part, but the results aren't always that good, and you have to fish around for the tuner.The whole turn the amp down, unplug from the amp, jack into a tuner, unplug from the tuner, plug back into the amp, turn the amp up process every time something sounded a bit off always soured me and brought down my enthusiasm while practicing/playing the guitar, but those days are over. I need to keep my enthusiasm level high, and actually play the guitar instead of fishing around for a tuner.As far as accuracy, it is as good, or better than any jack-in tuner I have (I have three different brands)."
1,5,"I have no complaints except when I try to tune my guitar a half step down, there are buttons for that on the back of the tuner but I have zero clue how to use them. This tuner is perfect it sits nicely on the head, swiveling head, visible from wherever you are."
1,5,"This tuner is great, and it being so low price makes it even more better, standard shipping took 2 days to reach me in Mass. I was pleased for that. The tuner comes with a 2032 (circle) battery, and its as simple as pushing the power button and strumming the guitar strings. I'd definitely recommend this product to a friend. I'd buy it again. Its a nice little tuner, and my guitar is sounding great. This is a very well made product."
1,5,"I bought one of these at a music store like 2 years ago for 30 bucks. I was Impressed and used i to tune my guitar, bass and mandolin. Later I saw them for 8$ here on amazon and I bought 1 for myself 1 for a sister and another for my brother in law. These are a great deal. I can tune my electric bass without a pedal while the stage is really loud! It just uses vibration of the instrument."
1,5,"These tuners (including the red version) are the best. I have many tuners, from expensive Peterson and Boss, Korg, Seiko, Quiktune, and many other brands, from standard tuners to a few different brands of clip ons. The Snark is the easiest and most stable to use. Even my young guitar students, who have had trouble learning to tune using other tuners that I love, have no problem tuning with this tuner."
1,5,"I am but a mere novice when it comes to playing the guitar, but I purchased this SN-1 to replace the piece of junk first tuner I had. I'm very happy with the size of the SN-1. It's small, much smaller than I expected which was a big bonus. It takes up very little room on the headstock, and does not interfere when I make tuning adjustments. The &#34;chip-clip&#34; style clamp does a surprisingly good job of staying in place on my Ibanez acoustic and I *think* my guitar sounds better than it did while using my previous tuner.The user interface is very simple, and the display is easy to read and understand in both higher and lower lighting conditions. The instruction manual is adequate, but the SN-1 seemed very intuitive for me to use. The product arrived on time, as shown, well packaged, for what I believe to be a fair price at about eight dollars and change. I've had this SN-1 for a couple months now, and will update this review down the road. Thanks for reading, and if you have any questions, feel free to ask and I will do the best I can to answer.SPO"
1,5,I had to tune my guitar and I bought this. Well it works great. I got the sound I wanted.
1,5,"I've bought quite a few tuners over the years. These are small, responsive, easy to read, and the fact that they work on vibration means they can be used in a loud setting without interference. These are great!!At first I was turned off by the 'toyish' appearance, but decided to try it after reading the reviews. Let me say that in person they look nicer than in the pics, and they perform way better than I expected."
1,4,I tune both my acoustic and electric guitars with it and it appears to do a good job on both. I didn't think it would pick up the vibration on the electric very well but it does and without it being attached to the amp. It appears to do a better and faster job than my old seiko electric guitar tuner. I would have gave it a five star but being a beginner and not having developed a good musical ear yet I don't know if it is tuning the guitars as well as some other unit. I would recommend it to anyone looking for a good inexpensive tuner.Update: The more I use this tuner the more I like it. It is easy to read and use and doesn't appear to be as easily broken as other reviewers say theirs was. Of course I am careful with it a keep it put away when not being used.
1,5,I had a little dificulty learning how to tune it at the beginning but after i played with it enough i figured it out and its so easy to use and my friends love it they say s*** im gonna by me one lol
1,5,"When this arrived I didn't realize it was that small. Thought it has to be so its out of the way. Then I thought, this thing can't work very well, but it does perfectly. The first few times a used it, I wasn't expecting muchhowever, I couldn't more wrong it really works well and I would recommend this to family or friends."
1,5,"I was surprised by the size...very small and unobtrusive. My older guitar has a decal on the top of the head which made the small size a bit of an issue, but with the cleverly designed swivel pad and wide opening on the clip of the Snark, I could still easily manage it.The tuning is dead-on, and couldn't be more convenient. Since it's based on vibration, the performance is completely unaffected by outside noise. Also, you don't have to try and balance anything on your knee or use a table to hold your standard audio tuner. Just clip it on and swivel the head to face you.I really like the design. Attractive but not overly loud in color, and a nice non-slip surface. The display is bright and the interface is very intuitive...you just press the button and start plucking strings.In addition, Snark's customer service was very friendly and helpful.Putting my two cents aside(that anyone who plays the guitar should learn to tune by sound, without a tuner, given one of the notes), I highly recommend the Snark tuner."
1,5,Purchased this Snark tuner after reading a few positive reviews and decided to give it a try. For the money I figured why not.GREAT little tuner. Dead on accuracy and perfect for tuning in rooms where you may have noise interference using regular tuners. This clips to the headstock and  is very easy to use.The face pivots around and the display is nice and bright. I will pick up a few more and toss em in my guitar cases!
1,5,This tuner is easy to use.  I have a guitar with a built in tuner that just doesn't seem to be perfect on pitch.  This tuner is and I am very happy with this purchase.
1,5,"not much to say, if you play guitar buy one, you'll never be out of tune again, lets you tune anytime, i never even take mine off, no more ""does this sound in tune"" because it will always be in tune, so do your self a favor and go out and buy one, very affordable (you could collect enough cans to buy this in a couple hours)so enjoy"
1,5,"I have seen people complain about battery life. I turn it on, tune, and then turn it off and my batteries last forever. The display is good, and the tuners work well. I have four of them and have compared them for accuracy and sensitivity. I think it is a well made product and good value. Thank god for tuners. There is nothing worse than a bunch of out-of-tune, loud guitar players."
1,5,"The Snark SN-1 is sometimes dissed because of it being slightly inaccurate. I beg to differ. This is the most accurate headstock tuner that I have ever used, and it also has a built in metronome, which I never use, but could come in handy. Another thing is the price point, which is simply amazing. The blue color is a bit annoying however, and I'd like it if they came out with a black SN-1. The visibility of the screen is amazing, and I can see it even with the sun reflecting off of it, or in a completely dark room."
1,5,"I've got a bunch of these little tuners- I keep one with each instrument. They are a little tough on batteries, but they are accurate, even picking up notes below E on my double bass C extension.Highly recommend!"
